gene	tree	count
MT-CO1	oxidoreductase|oxidase	1
ATP5C1	transporter|cation transporter|ATP synthase	2
HTR4	receptor|G-protein coupled receptor	21
ALKBH3	oxidoreductase|oxygenase	1
ALKBH2	oxidoreductase|oxygenase	1
HTR6	receptor|G-protein coupled receptor	53
HTR7	receptor|G-protein coupled receptor	50
AKT2	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	10
AKT3	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	8
AKT1	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	23
PRKACA	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	10
GSTK1	transfer/carrier protein	1
PRKAB2	enzyme modulator|kinase modulator	2
SDS	lyase|dehydratase	1
CACNA2D1	transporter|ion channel|voltage-gated ion channel|voltage-gated sodium channel	16
CACNA2D3	transporter|ion channel|voltage-gated ion channel|voltage-gated sodium channel	6
CACNA2D2	transporter|ion channel|voltage-gated ion channel|voltage-gated sodium channel	9
PRKAB1	enzyme modulator|kinase modulator	3
BCR	enzyme modulator|G-protein modulator|guanyl-nucleotide exchange factor	5
ACE2	hydrolase|protease|metalloprotease	3
MTHFD1	oxidoreductase|dehydrogenase	1
MTHFD2	oxidoreductase|dehydrogenase	1
AGTR1	receptor|G-protein coupled receptor	16
MT-CO2	oxidoreductase	1
AGTR2	receptor|G-protein coupled receptor	5
MT-CO3	oxidoreductase|oxidase	1
TSTA3	lyase|dehydratase	1
SHMT2	transferase|methyltransferase	3
SHMT1	transferase|methyltransferase	3
PLA2G6	hydrolase|lipase|phospholipase	1
PLA2G7	hydrolase|esterase	1
RDH12	oxidoreductase|dehydrogenase	1
HLCS	ligase	1
RDH11	oxidoreductase|dehydrogenase	1
PDGFD	signaling molecule|growth factor	1
RDH14	oxidoreductase|dehydrogenase	1
LTA4H	hydrolase|protease|metalloprotease	3
RDH13	oxidoreductase|dehydrogenase	1
HCRT	receptor|G-protein coupled receptor	1
GSTM4	oxidoreductase|reductase	1
GSTM3	oxidoreductase|reductase	1
CREBBP	nucleic acid binding|DNA binding protein|chromatin/chromatin-binding protein	1
GSTM2	oxidoreductase|reductase	2
JUN	transcription factor	5
GSTM1	oxidoreductase|reductase	1
DHFR	oxidoreductase|reductase	11
FASN	hydrolase|esterase	9
FXYD2	transporter|ion channel	2
PKIA	enzyme modulator|kinase modulator|kinase inhibitor	7
GSTM5	oxidoreductase|reductase	1
ACHE	hydrolase|esterase	38
KCNC1	transporter|ion channel|potassium channel|voltage-gated potassium channel	1
KCNC2	transporter|ion channel|potassium channel|voltage-gated potassium channel	1
KCNC3	transporter|ion channel|potassium channel|voltage-gated potassium channel	1
KCNC4	transporter|ion channel|potassium channel|voltage-gated potassium channel	2
PRKAG1	enzyme modulator|kinase modulator	1
PRKAG2	enzyme modulator|kinase modulator	1
MMP21	hydrolase|protease|metalloprotease	1
PRKAG3	enzyme modulator|kinase modulator	1
MMP20	hydrolase|protease|metalloprotease	1
PANX1	extracellular matrix protein|extracellular matrix structural protein	3
PANX2	extracellular matrix protein|extracellular matrix structural protein	2
MMP25	hydrolase|protease|metalloprotease	2
ATIC	transferase|methyltransferase	1
MMP24	hydrolase|protease|metalloprotease	1
MMP27	hydrolase|protease|metalloprotease	1
MMP26	hydrolase|protease|metalloprotease	1
SMPD1	hydrolase|phosphodiesterase	3
MMP28	hydrolase|protease|metalloprotease	1
TSPO	transporter	12
JAK2	transferase|kinase|protein kinase|non-receptor tyrosine protein kinase	23
TPSAB1	hydrolase|protease|serine protease	2
JAK3	transferase|kinase|protein kinase|non-receptor tyrosine protein kinase	16
SLC18A1	transporter|amino acid transporter	4
PANX3	extracellular matrix protein|extracellular matrix structural protein	2
SLC18A2	transporter|amino acid transporter	10
JAK1	transferase|kinase|protein kinase|non-receptor tyrosine protein kinase	12
SLC18A3	transporter|amino acid transporter	1
MYBPC3	cytoskeletal protein|actin family cytoskeletal protein|actin binding motor protein	1
KCND1	transporter|ion channel|potassium channel|voltage-gated potassium channel	1
GSTO2	nucleic acid binding|RNA binding protein|translation factor|translation elongation factor	1
KCND2	transporter|ion channel|potassium channel|voltage-gated potassium channel	4
GSTO1	nucleic acid binding|RNA binding protein|translation factor|translation elongation factor	1
KCND3	transporter|ion channel|potassium channel|voltage-gated potassium channel	4
SPHK2	transferase|kinase|carbohydrate kinase	1
SPHK1	transferase|kinase|carbohydrate kinase	1
MMP10	hydrolase|protease|metalloprotease	1
MMP12	hydrolase|protease|metalloprotease	5
SLC7A4	transporter|amino acid transporter	2
MMP11	hydrolase|protease|metalloprotease	1
MMP14	hydrolase|protease|metalloprotease	3
MMP13	hydrolase|protease|metalloprotease	6
MMP16	hydrolase|protease|metalloprotease	2
SLC7A8	transporter|amino acid transporter	1
CYP21A2	oxidoreductase|oxygenase	1
MMP15	hydrolase|protease|metalloprotease	1
SLC7A9	transporter|amino acid transporter	1
DPYD	oxidoreductase|dehydrogenase	5
MMP17	hydrolase|protease|metalloprotease	1
MMP19	hydrolase|protease|metalloprotease	1
PPARG	transcription factor|nuclear hormone receptor	36
PPARA	transcription factor|nuclear hormone receptor	18
PPARD	transcription factor|nuclear hormone receptor	10
OAT	transferase|transaminase	2
GSTP1	oxidoreductase|reductase	4
KCNA1	transporter|ion channel|potassium channel|voltage-gated potassium channel	7
ATP5A1	transporter|cation transporter|ATP synthase	3
KCNA2	transporter|ion channel|potassium channel|voltage-gated potassium channel	2
ODC1	lyase|decarboxylase	3
PTAFR	receptor|G-protein coupled receptor	4
KCNA3	transporter|ion channel|potassium channel|voltage-gated potassium channel	3
KCNA4	transporter|ion channel|potassium channel|voltage-gated potassium channel	1
KCNA5	transporter|ion channel|potassium channel|voltage-gated potassium channel	13
KCNA6	transporter|ion channel|potassium channel|voltage-gated potassium channel	1
ABCB11	transporter|ATP-binding cassette (ABC) transporter	5
KCNA7	transporter|ion channel|potassium channel|voltage-gated potassium channel	5
SLC7A1	transporter|amino acid transporter	2
EGFR	transferase|kinase|protein kinase|receptor tyrosine protein kinase	50
SLC7A2	transporter|amino acid transporter	1
SLC7A3	transporter|amino acid transporter	2
ADAM28	extracellular matrix protein|extracellular matrix glycoprotein	3
NRAS	enzyme modulator|G-protein|small GTPase	1
SULT1E1	transferase	1
P4HTM	oxidoreductase|oxygenase	1
EGLN1	oxidoreductase|hydroxylase	2
EGLN3	oxidoreductase|hydroxylase	1
EGLN2	oxidoreductase|hydroxylase	2
CRBN	hydrolase|protease	3
PKLR	transferase|kinase|pyruvate kinase	1
KCNB1	transporter|ion channel|potassium channel|voltage-gated potassium channel	1
CKMT1A	transferase|kinase|amino acid kinase	1
KCNB2	transporter|ion channel|potassium channel|voltage-gated potassium channel	2
BBOX1	oxidoreductase|oxygenase	2
CENPE	cytoskeletal protein|microtubule family cytoskeletal protein|microtubule binding motor protein	1
APEX1	nucleic acid binding|nuclease|exodeoxyribonuclease	1
TAOK2	transferase|kinase|protein kinase|serine/threonine protein kinase receptor	1
PKN2	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	1
PKN1	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	1
SIGLEC1	cell adhesion molecule|immunoglobulin superfamily cell adhesion molecule	1
CRAT	transferase|acyltransferase	1
FRK	transferase|kinase|protein kinase|non-receptor tyrosine protein kinase	3
KCNG1	transporter|ion channel|potassium channel|voltage-gated potassium channel	1
KCNG2	transporter|ion channel|potassium channel|voltage-gated potassium channel	1
KCNG3	transporter|ion channel|potassium channel|voltage-gated potassium channel	1
KCNG4	transporter|ion channel|potassium channel|voltage-gated potassium channel	1
REG1A	signaling molecule|growth factor	2
PLOD3	oxidoreductase|oxygenase	2
PLOD2	oxidoreductase|oxygenase	1
PLOD1	oxidoreductase|oxygenase	2
FADS2	oxidoreductase|dehydrogenase	1
SLK	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	1
FNTA	transferase|acyltransferase	4
ADORA3	receptor|G-protein coupled receptor	28
FNTB	transferase|acyltransferase	1
ADORA1	receptor|G-protein coupled receptor	37
MAP3K9	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	2
FADS1	oxidoreductase|dehydrogenase	2
KCNH1	transporter|ion channel|potassium channel|voltage-gated potassium channel	9
KCNH2	transporter|ion channel|potassium channel|voltage-gated potassium channel	37
KCNH3	transporter|ion channel|potassium channel|voltage-gated potassium channel	1
KCNH4	transporter|ion channel|potassium channel|voltage-gated potassium channel	1
DGAT2	transferase|acyltransferase	1
KCNH5	transporter|ion channel|potassium channel|voltage-gated potassium channel	2
DGAT1	transferase|acyltransferase	5
KCNH6	transporter|ion channel|potassium channel|voltage-gated potassium channel	6
KCNH7	transporter|ion channel|potassium channel|voltage-gated potassium channel	6
KCNH8	transporter|ion channel|potassium channel|voltage-gated potassium channel	1
CDC25C	hydrolase|phosphatase|protein phosphatase	1
CDC25A	hydrolase|phosphatase|protein phosphatase	2
CDC25B	hydrolase|phosphatase|protein phosphatase	3
SMO	receptor|G-protein coupled receptor	10
LGSN	ligase	1
SMS	transferase	1
BLK	transferase|kinase|protein kinase|non-receptor tyrosine protein kinase	2
GRIA1	transporter|ion channel|ligand-gated ion channel|ionotropic glutamate receptor	26
GRIA2	transporter|ion channel|ligand-gated ion channel|ionotropic glutamate receptor	25
KCNE1	transporter|ion channel|potassium channel|voltage-gated potassium channel	2
GMPS	transferase|glycosyltransferase	1
LY96	transmembrane receptor regulatory/adaptor protein	1
GSTT1	nucleic acid binding|RNA binding protein|translation factor|translation elongation factor	1
CYP2C19	oxidoreductase|oxygenase	12
HSP90B1	chaperone|Hsp90 family chaperone	2
NAE1	transfer/carrier protein	2
GRIA3	transporter|ion channel|ligand-gated ion channel|ionotropic glutamate receptor	15
GRIA4	transporter|ion channel|ligand-gated ion channel|ionotropic glutamate receptor	15
KCNF1	transporter|ion channel|potassium channel|voltage-gated potassium channel	1
HTR1E	receptor|G-protein coupled receptor	35
AGXT2	transferase|transaminase	3
HTR1F	receptor|G-protein coupled receptor	29
HTR1D	receptor|G-protein coupled receptor	56
HTR1A	receptor|G-protein coupled receptor	113
HTR1B	receptor|G-protein coupled receptor	60
ARPC4	cytoskeletal protein|actin family cytoskeletal protein	1
ARPC5	cytoskeletal protein|actin family cytoskeletal protein	1
BMX	transferase|kinase|protein kinase|non-receptor tyrosine protein kinase	1
UCKL1	transferase|kinase|nucleotide kinase	1
IGSF10	hydrolase|phosphatase|protein phosphatase	1
ARPC2	cytoskeletal protein|actin family cytoskeletal protein|non-motor actin binding protein	1
ARPC3	cytoskeletal protein|actin family cytoskeletal protein	1
TBXAS1	oxidoreductase|oxygenase	5
ACO2	lyase|dehydratase	1
SHBG	extracellular matrix protein|extracellular matrix glycoprotein	1
ITGB1	extracellular matrix protein|extracellular matrix glycoprotein	2
KCNK6	transporter|ion channel|potassium channel|voltage-gated potassium channel	2
ALAS2	transferase|transaminase	1
ALAS1	transferase|transaminase	2
KCNK9	transporter|ion channel|potassium channel|voltage-gated potassium channel	6
ITGB3	extracellular matrix protein|extracellular matrix glycoprotein	8
ITGB2	extracellular matrix protein|extracellular matrix glycoprotein	1
HTR2B	receptor|G-protein coupled receptor	70
HTR2C	receptor|G-protein coupled receptor	90
HTR2A	receptor|G-protein coupled receptor	126
ITGAL	extracellular matrix protein|extracellular matrix glycoprotein	1
RLBP1	oxidoreductase|dehydrogenase	1
ALAD	lyase|dehydratase	1
SPR	oxidoreductase|dehydrogenase	1
ITGAV	extracellular matrix protein|extracellular matrix glycoprotein	3
ITGB7	extracellular matrix protein|extracellular matrix glycoprotein	1
ACP1	hydrolase|phosphatase|protein phosphatase	1
